Cache: (10, 2, 8) WTWNA
Read HIT for address 10029cec
Write MISS for address 10028788
Read HIT for address 10029cec
Write MISS for address 1002878c
Read MISS for address 10068abc
Read MISS for address 10068aa0
Read MISS for address 10068aa4
Read MISS for address 10068ab0
Read HIT for address 10068abc
Read MISS for address 100368ac
Read MISS for address 1002dc48
Read MISS for address 10029cf0
Write MISS for address 10028e80
Read HIT for address 10029cf0
Write MISS for address 10028e84
Read HIT for address 10029cf0
Write MISS for address 10028e88
Read MISS for address 10068cbc
Read MISS for address 10068ca0
Read MISS for address 10068ca4
Read MISS for address 10068cb0
Read MISS for address 1003c93c
Read MISS for address 10033c60
Read HIT for address 10068cbc
Read MISS for address 10068ebc
Read MISS for address 10068ea0
Read MISS for address 10068ea4
Read MISS for address 10068eb0
Read HIT for address 10068ebc
Read MISS for address 1003c630
Read MISS for address 1003351c
Read MISS for address 10029cf4
Write MISS for address 10028c40
Read HIT for address 10029cf4
Write MISS for address 10028c44
Read HIT for address 10029cf4
Write MISS for address 10028c48
Read MISS for address 100690bc
Read MISS for address 100690a0
Read MISS for address 100690a4
Read MISS for address 100690b0
Read HIT for address 100690bc
Read HIT for address 1003c630
Read MISS for address 10033a08
Read MISS for address 10029cf8
Write MISS for address 100288bc
Read HIT for address 10029cf8
Write MISS for address 100288c0
Read HIT for address 10029cf8
Write MISS for address 100288c4
Read MISS for address 100692bc
Read MISS for address 100692a0
Read MISS for address 100692a4
Read MISS for address 100692b0
Read MISS for address 1003db48
Read MISS for address 10034aac
Read HIT for address 100692bc
Read MISS for address 100694bc
Read MISS for address 100694a0
Read MISS for address 100694a4
Read MISS for address 100694b0
Read HIT for address 1003db48
Read MISS for address 10034b9c
Read HIT for address 100694bc
Read MISS for address 100696bc
Read MISS for address 100696a0
Read MISS for address 100696a4
Read MISS for address 100696b0
Read MISS for address 1003711c
Read MISS for address 1002e29c
Read HIT for address 100696bc
Read MISS for address 10029cfc
Write MISS for address 10028b68
Read HIT for address 10029cfc
Write MISS for address 10028b6c
Read HIT for address 10029cfc
Write MISS for address 10028b70
Read MISS for address 100698bc
Read MISS for address 100698a0
Read MISS for address 100698a4
Read MISS for address 100698b0
Read HIT for address 100698bc
Read MISS for address 10036f00
Read MISS for address 1002e4b8
Read MISS for address 10029d00
Write MISS for address 100286d0
Read HIT for address 10029d00
Write MISS for address 100286d4
Read HIT for address 10029d00
Write MISS for address 100286d8
Read MISS for address 10069abc
Read MISS for address 10069aa0
Read MISS for address 10069aa4
Read MISS for address 10069ab0
Read HIT for address 10069abc
Read MISS for address 100381c0
Read MISS for address 1002f55c
Read MISS for address 10029d04
Write MISS for address 1002933c
Read HIT for address 10029d04
Write MISS for address 10029340
Read HIT for address 10029d04
Write MISS for address 10029344
Read MISS for address 10069cbc
Read MISS for address 10069ca0
Read MISS for address 10069ca4
Read MISS for address 10069cb0
Read HIT for address 10069cbc
Read MISS for address 10039318
Read MISS for address 10030d08
Read MISS for address 10029d08
Write MISS for address 10028eec
Read HIT for address 10029d08
Write MISS for address 10028ef0
Read HIT for address 10029d08
Write MISS for address 10028ef4
Read MISS for address 10069ebc
Read MISS for address 10069ea0
Read MISS for address 10069ea4
Read MISS for address 10069eb0
Read HIT for address 10069ebc
Read MISS for address 10037f2c
Read MISS for address 1002f0ac
Read MISS for address 10029d0c
Write MISS for address 10028a90
Read HIT for address 10029d0c
Write MISS for address 10028a94
Read HIT for address 10029d0c
Write MISS for address 10028a98
Read MISS for address 1006a0bc
Read MISS for address 1006a0a0
Read MISS for address 1006a0a4
Read MISS for address 1006a0b0
Read HIT for address 1006a0bc
Read HIT for address 10039318
Read MISS for address 100306b4
Read MISS for address 10029d10
Write MISS for address 10028d48
Read HIT for address 10029d10
Write MISS for address 10028d4c
Read HIT for address 10029d10
Write MISS for address 10028d50
Read MISS for address 1006a2bc
Read MISS for address 1006a2a0
Read MISS for address 1006a2a4
Read MISS for address 1006a2b0
Read HIT for address 1006a2bc
Read MISS for address 1003aac4
Read MISS for address 10031e60
Read MISS for address 10029d14
Write MISS for address 10029330
Read HIT for address 10029d14
Write MISS for address 10029334
Read HIT for address 10029d14
Write MISS for address 10029338
Read MISS for address 1006a4bc
Read MISS for address 1006a4a0
Read MISS for address 1006a4a4
Read MISS for address 1006a4b0
Read HIT for address 1006a4bc
Read MISS for address 10034cc8
Read MISS for address 1002bd1c
Read MISS for address 10029d18
Write MISS for address 10028ae4
Read HIT for address 10029d18
Write MISS for address 10028ae8
Read HIT for address 10029d18
Write MISS for address 10028aec
Read MISS for address 1006a6bc
Read MISS for address 1006a6a0
Read MISS for address 1006a6a4
Read MISS for address 1006a6b0
Read HIT for address 1006a6bc
Read MISS for address 10037860
Read MISS for address 1002e968
Read MISS for address 10029d1c
Write MISS for address 10028f04
Read HIT for address 10029d1c
Write MISS for address 10028f08
Read HIT for address 10029d1c
Write MISS for address 10028f0c
Read MISS for address 1006a8bc
Read MISS for address 1006a8a0
Read MISS for address 1006a8a4
Read MISS for address 1006a8b0
Read HIT for address 1006a8bc
Read MISS for address 1003a560
Read MISS for address 100318c0
Read MISS for address 10029d20
Write MISS for address 1002888c
Read HIT for address 10029d20
Write MISS for address 10028890
Read HIT for address 10029d20
Write MISS for address 10028894
Read MISS for address 1006aabc
Read MISS for address 1006aaa0
Read MISS for address 1006aaa4
Read MISS for address 1006aab0
Read HIT for address 1006aabc
Read MISS for address 1003522c
Read MISS for address 1002c730
Read MISS for address 10029d24
Write MISS for address 100289f4
Read HIT for address 10029d24
Write MISS for address 100289f8
Read HIT for address 10029d24
Write MISS for address 100289fc
Read MISS for address 1006acbc
Read MISS for address 1006aca0
Read MISS for address 1006aca4
Read MISS for address 1006acb0
Read MISS for address 1003a1dc
Read MISS for address 1003135c
Read HIT for address 1006acbc
Read MISS for address 1006aebc
Read MISS for address 1006aea0
Read MISS for address 1006aea4
Read MISS for address 1006aeb0
Read HIT for address 1006aebc
Read MISS for address 100356dc
Read MISS for address 1002cdfc
Read MISS for address 10029d28
Write MISS for address 10029030
Read HIT for address 10029d28
Write MISS for address 10029034
Read HIT for address 10029d28
Write MISS for address 10029038
Read MISS for address 1006b0bc
Read MISS for address 1006b0a0
Read MISS for address 1006b0a4
Read MISS for address 1006b0b0
Read HIT for address 1006b0bc
Read MISS for address 1003513c
Read MISS for address 1002c820
Read MISS for address 10029d2c
Write MISS for address 10028fa0
Read HIT for address 10029d2c
Write MISS for address 10028fa4
Read HIT for address 10029d2c
Write MISS for address 10028fa8
Read MISS for address 1006b2bc
Read MISS for address 1006b2a0
Read MISS for address 1006b2a4
Read MISS for address 1006b2b0
Read HIT for address 1006b2bc
Read MISS for address 10034ea8
Read MISS for address 1002c208
Read MISS for address 10029d30
Write MISS for address 100289e8
Read HIT for address 10029d30
Write MISS for address 100289ec
Read HIT for address 10029d30
Write MISS for address 100289f0
Read MISS for address 1006b4bc
Read MISS for address 1006b4a0
Read MISS for address 1006b4a4
Read MISS for address 1006b4b0
Read HIT for address 1006b4bc
Read MISS for address 1003a7f4
Read MISS for address 100320f4
Read MISS for address 10029d34
Write MISS for address 10029084
Read HIT for address 10029d34
Write MISS for address 10029088
Read HIT for address 10029d34
Write MISS for address 1002908c
Read MISS for address 1006b6bc
Read MISS for address 1006b6a0
Read MISS for address 1006b6a4
Read MISS for address 1006b6b0
Read HIT for address 1006b6bc
Read MISS for address 10038d78
Read MISS for address 10030678
Read MISS for address 10029d38
Write MISS for address 10028bd4
Read HIT for address 10029d38
Write MISS for address 10028bd8
Read HIT for address 10029d38
Write MISS for address 10028bdc
Read MISS for address 1006b8bc
Read MISS for address 1006b8a0
Read MISS for address 1006b8a4
Read MISS for address 1006b8b0
Read MISS for address 1003b910
Read MISS for address 10032e50
Read HIT for address 1006b8bc
Read MISS for address 1006babc
Read MISS for address 1006baa0
Read MISS for address 1006baa4
Read MISS for address 1006bab0
Read HIT for address 1006babc
Read MISS for address 1003b370
Read MISS for address 100329a0
Read MISS for address 10029d3c
Write MISS for address 10029360
Read HIT for address 10029d3c
Write MISS for address 10029364
Read HIT for address 10029d3c
Write MISS for address 10029368
Read MISS for address 1006bcbc
Read MISS for address 1006bca0
Read MISS for address 1006bca4
Read MISS for address 1006bcb0
Read HIT for address 1006bcbc
Read HIT for address 1003a7f4
Read MISS for address 10031e24
Read MISS for address 10029d40
Write MISS for address 10029060
Read HIT for address 10029d40
Write MISS for address 10029064
Read HIT for address 10029d40
Write MISS for address 10029068
Read MISS for address 1006bebc
Read MISS for address 1006bea0
Read MISS for address 1006bea4
Read MISS for address 1006beb0
Read MISS for address 10038f58
Read MISS for address 10030ab0
Read HIT for address 1006bebc
Read MISS for address 1006c0bc
Read MISS for address 1006c0a0
Read MISS for address 1006c0a4
Read MISS for address 1006c0b0
Read MISS for address 1003c360
Read MISS for address 100336c0
Read HIT for address 1006c0bc
Read MISS for address 1006c2bc
Read MISS for address 1006c2a0
Read MISS for address 1006c2a4
Read MISS for address 1006c2b0
Read HIT for address 1006c2bc
Read MISS for address 1003dc74
Read MISS for address 10034a70
Read MISS for address 1006c4bc
Read MISS for address 1006c4a0
Read MISS for address 1006c4a4
